filename, language, Log, Java, XML, GLSL, comment, blank, total
c:\Users\Nicolas\Documents\minecraftclone\hs_err_pid18580.log, Log, 269, 0, 0, 0, 0, 43, 312
c:\Users\Nicolas\Documents\minecraftclone\hs_err_pid20888.log, Log, 269, 0, 0, 0, 0, 43, 312
c:\Users\Nicolas\Documents\minecraftclone\hs_err_pid23620.log, Log, 393, 0, 0, 0, 0, 43, 436
c:\Users\Nicolas\Documents\minecraftclone\hs_err_pid27296.log, Log, 396, 0, 0, 0, 0, 43, 439
c:\Users\Nicolas\Documents\minecraftclone\hs_err_pid27988.log, Log, 269, 0, 0, 0, 0, 43, 312
c:\Users\Nicolas\Documents\minecraftclone\hs_err_pid28764.log, Log, 393, 0, 0, 0, 0, 43, 436
c:\Users\Nicolas\Documents\minecraftclone\hs_err_pid34212.log, Log, 397, 0, 0, 0, 0, 43, 440
c:\Users\Nicolas\Documents\minecraftclone\pom.xml, XML, 0, 0, 433, 0, 5, 13, 451
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\App.java, Java, 0, 8, 0, 0, 0, 8, 16
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\core\Action.java, Java, 0, 4, 0, 0, 3, 2, 9
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\core\BlockVisibilityChange.java, Java, 0, 5, 0, 0, 0, 3, 8
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\core\Chunk.java, Java, 0, 494, 0, 0, 15, 52, 561
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\core\FiniteStateMachine.java, Java, 0, 46, 0, 0, 3, 14, 63
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\core\Game.java, Java, 0, 104, 0, 0, 3, 51, 158
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\core\GameStatus.java, Java, 0, 14, 0, 0, 0, 6, 20
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\core\MouseInput.java, Java, 0, 66, 0, 0, 0, 23, 89
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\core\State.java, Java, 0, 12, 0, 0, 3, 11, 26
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\core\TerrainGenerator.java, Java, 0, 77, 0, 0, 4, 21, 102
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\core\ThreadDataRequester.java, Java, 0, 39, 0, 0, 10, 12, 61
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\core\Timer.java, Java, 0, 47, 0, 0, 3, 21, 71
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\core\VoidState.java, Java, 0, 18, 0, 0, 8, 13, 39
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\entities\Block.java, Java, 0, 52, 0, 0, 4, 30, 86
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\entities\BlockType.java, Java, 0, 36, 0, 0, 3, 12, 51
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\entities\Entity.java, Java, 0, 24, 0, 0, 3, 11, 38
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\entities\Face.java, Java, 0, 142, 0, 0, 3, 13, 158
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\entities\FaceSide.java, Java, 0, 13, 0, 0, 0, 4, 17
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\entities\Player.java, Java, 0, 182, 0, 0, 25, 53, 260
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\entities\Skybox.java, Java, 0, 85, 0, 0, 24, 38, 147
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\graphics\Attenuation.java, Java, 0, 29, 0, 0, 3, 10, 42
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\graphics\DirectionalLight.java, Java, 0, 33, 0, 0, 3, 13, 49
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\graphics\FrustumCullingFilter.java, Java, 0, 47, 0, 0, 5, 13, 65
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\graphics\Loader.java, Java, 0, 132, 0, 0, 3, 37, 172
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\graphics\Material.java, Java, 0, 66, 0, 0, 3, 22, 91
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\graphics\PointLight.java, Java, 0, 48, 0, 0, 3, 17, 68
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\graphics\Renderer.java, Java, 0, 121, 0, 0, 3, 21, 145
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\graphics\Shader.java, Java, 0, 52, 0, 0, 3, 16, 71
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\graphics\ShaderProgram.java, Java, 0, 136, 0, 0, 3, 38, 177
